STATION,STATION_NAME,DATE,TMAX,TMIN,TOBS
GHCND:USC00228374,STATE UNIVERSITY MS US,20130601,89,70,73
GHCND:USC00228374,STATE UNIVERSITY MS US,20130602,89,64,67
GHCND:USC00228374,STATE UNIVERSITY MS US,20130603,81,64,67
GHCND:USC00228374,STATE UNIVERSITY MS US,20130604,84,63,66
GHCND:USC00228374,STATE UNIVERSITY MS US,20130605,88,66,73
GHCND:USC00228374,STATE UNIVERSITY MS US,20130606,91,65,68
GHCND:USC00228374,STATE UNIVERSITY MS US,20130607,88,67,70
GHCND:USC00228374,STATE UNIVERSITY MS US,20130608,82,61,64
GHCND:USC00228374,STATE UNIVERSITY MS US,20130609,86,64,72
GHCND:USC00228374,STATE UNIVERSITY MS US,20130610,87,69,72
GHCND:USC00228374,STATE UNIVERSITY MS US,20130611,90,72,76
GHCND:USC00228374,STATE UNIVERSITY MS US,20130612,94,73,76
GHCND:USC00228374,STATE UNIVERSITY MS US,20130613,95,74,77
GHCND:USC00228374,STATE UNIVERSITY MS US,20130614,93,67,70
GHCND:USC00228374,STATE UNIVERSITY MS US,20130615,86,66,69
GHCND:USC00228374,STATE UNIVERSITY MS US,20130616,90,69,73
GHCND:USC00228374,STATE UNIVERSITY MS US,20130617,92,73,76
GHCND:USC00228374,STATE UNIVERSITY MS US,20130618,90,73,76
GHCND:USC00228374,STATE UNIVERSITY MS US,20130619,85,67,70
GHCND:USC00228374,STATE UNIVERSITY MS US,20130620,89,68,71
GHCND:USC00228374,STATE UNIVERSITY MS US,20130621,90,66,70
GHCND:USC00228374,STATE UNIVERSITY MS US,20130622,90,70,76
GHCND:USC00228374,STATE UNIVERSITY MS US,20130623,90,68,71
GHCND:USC00228374,STATE UNIVERSITY MS US,20130624,92,70,73
GHCND:USC00228374,STATE UNIVERSITY MS US,20130625,92,71,74
GHCND:USC00228374,STATE UNIVERSITY MS US,20130626,94,73,76
GHCND:USC00228374,STATE UNIVERSITY MS US,20130627,94,74,77
GHCND:USC00228374,STATE UNIVERSITY MS US,20130628,96,77,80
GHCND:USC00228374,STATE UNIVERSITY MS US,20130629,92,72,75
GHCND:USC00228374,STATE UNIVERSITY MS US,20130630,91,66,69
GHCND:USC00228374,STATE UNIVERSITY MS US,20130701,88,64,67
GHCND:USC00228374,STATE UNIVERSITY MS US,20130702,85,62,65
GHCND:USC00228374,STATE UNIVERSITY MS US,20130703,86,61,65
GHCND:USC00228374,STATE UNIVERSITY MS US,20130704,89,65,73
GHCND:USC00228374,STATE UNIVERSITY MS US,20130705,81,70,73
